subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s004,4,35,0.0774,0.3233,0.2459,0.1101,0.1547,0.0446,0.1222,0.2025,0.0803,0.0689,0.4003,0.3314,0.0934,0.3384,0.245,0.1434,0.201,0.0576,0.099,0.1155,0.0165,0.1344,0.0803,-0.0541,0.0945,0.1328,0.0383,0.1227,0.2274,0.1047,0.0876
s004,4,36,0.0774,0.1655,0.0881,0.1122,0.1782,0.066,0.1032,0.1167,0.0135,0.0721,0.4262,0.3541,0.0826,0.3217,0.2391,0.1277,0.162,0.0343,0.0937,0.0972,0.0035,0.1294,0.0988,-0.0306,0.0898,0.1362,0.0464,0.1016,0.2356,0.134,0.0784
s004,4,37,0.0602,0.257,0.1968,0.1029,0.147,0.0441,0.122,0.1151,-0.0069,0.0697,0.2658,0.1961,0.1027,0.3672,0.2645,0.1438,0.1876,0.0438,0.0993,0.1305,0.0312,0.1425,0.1518,0.0093,0.0979,0.1858,0.0879,0.1027,0.2306,0.1279,0.0752
s004,4,38,0.137,0.1383,0.0013,0.0979,0.1536,0.0557,0.1011,0.1112,0.0101,0.066,0.2771,0.2111,0.099,0.3675,0.2685,0.1587,0.1801,0.0214,0.0942,0.117,0.0228,0.1458,0.1009,-0.0449,0.0948,0.1547,0.0599,0.0913,0.2118,0.1205,0.0805
s004,4,39,0.0876,0.1474,0.0598,0.1059,0.1724,0.0665,0.0853,0.0657,-0.0196,0.0785,0.2231,0.1446,0.1022,0.3596,0.2574,0.1534,0.2099,0.0565,0.0971,0.1207,0.0236,0.118,0.1022,-0.0158,0.0853,0.1183,0.033,0.0985,0.1945,0.096,0.0795
s004,4,40,0.1138,0.157,0.0432,0.1016,0.1483,0.0467,0.099,0.1038,0.0048,0.0737,0.2125,0.1388,0.1151,0.3907,0.2756,0.185,0.374,0.189,0.0826,0.2128,0.1302,0.1476,0.1333,-0.0143,0.0798,0.1569,0.0771,0.075,0.2024,0.1274,0.0647
s004,4,41,0.0913,0.1451,0.0538,0.0969,0.1318,0.0349,0.0948,0.0787,-0.0161,0.0705,0.2373,0.1668,0.1256,0.3843,0.2587,0.16,0.2331,0.0731,0.1048,0.1226,0.0178,0.1363,0.0972,-0.0391,0.0848,0.127,0.0422,0.0964,0.266,0.1696,0.0705
s004,4,42,0.0985,0.171,0.0725,0.099,0.1159,0.0169,0.0895,0.0702,-0.0193,0.07,0.4141,0.3441,0.0774,0.3068,0.2294,0.1167,0.1735,0.0568,0.099,0.3281,0.2291,0.1375,0.113,-0.0245,0.0839,0.1554,0.0715,0.0863,0.191,0.1047,0.0758
s004,4,43,0.1048,0.2528,0.148,0.1053,0.1486,0.0433,0.1138,0.1526,0.0388,0.0763,0.3745,0.2982,0.0869,0.3678,0.2809,0.1784,0.3114,0.133,0.1027,0.0898,-0.0129,0.1347,0.1244,-0.0103,0.0821,0.108,0.0259,0.0993,0.196,0.0967,0.0845
s004,4,44,0.1043,0.1734,0.0691,0.1088,0.1315,0.0227,0.1043,0.0993,-0.005,0.0726,0.5481,0.4755,0.0694,0.3403,0.2709,0.1737,0.3212,0.1475,0.0853,0.14,0.0547,0.1133,0.1109,-0.0024,0.1265,0.2574,0.1309,0.1259,0.3337,0.2078,0.0869
s004,4,45,0.0805,0.3483,0.2678,0.09,0.151,0.061,0.1227,0.1338,0.0111,0.0739,0.3225,0.2486,0.1027,0.5478,0.4451,0.1323,0.2345,0.1022,0.098,0.0946,-0.0034,0.1376,0.1315,-0.0061,0.0948,0.1476,0.0528,0.1111,0.2229,0.1118,0.0676
s004,4,46,0.1283,0.2343,0.106,0.1022,0.1323,0.0301,0.1167,0.1223,0.0056,0.075,0.2302,0.1552,0.1035,0.3329,0.2294,0.1457,0.2067,0.061,0.1029,0.107,0.0041,0.1346,0.1159,-0.0187,0.0966,0.1372,0.0406,0.0921,0.1912,0.0991,0.0715
s004,4,47,0.0821,0.219,0.1369,0.118,0.1515,0.0335,0.1035,0.1281,0.0246,0.0842,0.6695,0.5853,0.0742,0.3315,0.2573,0.1193,0.204,0.0847,0.113,0.1712,0.0582,0.1431,0.1059,-0.0372,0.0945,0.1449,0.0504,0.1043,0.2243,0.12,0.0737
s004,4,48,0.1156,0.1815,0.0659,0.1183,0.1278,0.0095,0.1004,0.0771,-0.0233,0.0793,0.3891,0.3098,0.0895,0.3997,0.3102,0.1534,0.2466,0.0932,0.1085,0.1445,0.036,0.1148,0.1019,-0.0129,0.0969,0.1547,0.0578,0.1003,0.2094,0.1091,0.0845
s004,4,49,0.0993,0.2665,0.1672,0.1193,0.1365,0.0172,0.117,0.1135,-0.0035,0.0864,0.2107,0.1243,0.1114,0.6044,0.493,0.1463,0.2136,0.0673,0.0958,0.1054,0.0096,0.1148,0.1278,0.013,0.1011,0.1863,0.0852,0.1082,0.4931,0.3849,0.0763
s004,4,50,0.1164,0.238,0.1216,0.1003,0.1014,0.0011,0.1169,0.1349,0.018,0.0768,0.2726,0.1958,0.1053,1.1723,1.067,0.1035,0.16,0.0565,0.103,0.0933,-0.0097,0.1566,0.1228,-0.0338,0.0869,0.1196,0.0327,0.1019,0.2037,0.1018,0.0829
s004,5,1,0.1117,0.175,0.0633,0.0921,0.0979,0.0058,0.0832,0.0784,-0.0048,0.0843,1.2092,1.1249,0.0618,0.4701,0.4083,0.1233,0.2551,0.1318,0.0668,0.0531,-0.0137,0.1201,0.1458,0.0257,0.0879,0.2536,0.1657,0.104,0.2393,0.1353,0.071
s004,5,2,0.0977,0.1459,0.0482,0.0937,0.1027,0.009,0.0826,0.084,0.0014,0.0803,0.2835,0.2032,0.119,0.4366,0.3176,0.1164,0.2769,0.1605,0.0956,0.106,0.0104,0.1008,0.1251,0.0243,0.0768,0.1415,0.0647,0.0821,0.1915,0.1094,0.0713
s004,5,3,0.1185,0.1947,0.0762,0.0895,0.1452,0.0557,0.1096,0.0861,-0.0235,0.0718,0.4753,0.4035,0.0726,0.4152,0.3426,0.1431,0.3878,0.2447,0.0723,0.093,0.0207,0.0861,0.1313,0.0452,0.0766,0.1418,0.0652,0.0921,0.1947,0.1026,0.0861
s004,5,4,0.1114,0.1921,0.0807,0.0863,0.0913,0.005,0.0845,0.1194,0.0349,0.0684,0.4241,0.3557,0.0752,0.3875,0.3123,0.1378,0.2787,0.1409,0.0605,0.077,0.0165,0.108,0.1223,0.0143,0.0866,0.1212,0.0346,0.0861,0.191,0.1049,0.0755
s004,5,5,0.1101,0.2222,0.1121,0.1103,0.1518,0.0415,0.1014,0.1123,0.0109,0.0853,0.4613,0.376,0.0715,0.3571,0.2856,0.1542,0.2553,0.1011,0.0726,0.0608,-0.0118,0.1239,0.1046,-0.0193,0.1091,0.1877,0.0786,0.099,0.234,0.135,0.0715
s004,5,6,0.0958,0.2942,0.1984,0.1098,0.1296,0.0198,0.0913,1.1157,1.0244,0.08,0.35,0.27,0.0715,0.3917,0.3202,0.1304,0.2864,0.156,0.0874,0.1822,0.0948,0.0457,0.3598,0.3141,0.0942,0.162,0.0678,0.0839,0.2152,0.1313,0.0605
s004,5,7,0.0969,0.1982,0.1013,0.1135,0.1069,-0.0066,0.1022,0.0718,-0.0304,0.06,0.4207,0.3607,0.0642,0.3322,0.268,0.1404,0.2463,0.1059,0.0816,0.1115,0.0299,0.1107,0.079,-0.0317,0.0903,0.1473,0.057,0.0887,0.2269,0.1382,0.0739
s004,5,8,0.089,0.3035,0.2145,0.1099,0.1085,-0.0014,0.1236,0.1025,-0.0211,0.0718,0.2478,0.176,0.0929,0.5656,0.4727,0.1201,0.2249,0.1048,0.0966,0.1038,0.0072,0.131,0.1138,-0.0172,0.0993,0.1534,0.0541,0.1037,0.2094,0.1057,0.0866
s004,5,9,0.0982,0.3216,0.2234,0.094,0.1233,0.0293,0.0975,0.0787,-0.0188,0.0671,0.4867,0.4196,0.0792,0.3181,0.2389,0.1154,0.1875,0.0721,0.1051,0.0853,-0.0198,0.1192,0.0941,-0.0251,0.0867,0.1424,0.0557,0.0839,0.2186,0.1347,0.071
s004,5,10,0.1344,0.1876,0.0532,0.1183,0.1045,-0.0138,0.1002,0.0661,-0.0341,0.0711,0.4157,0.3446,0.0671,0.3606,0.2935,0.1294,0.1841,0.0547,0.0958,0.0898,-0.006,0.1285,0.0974,-0.0311,0.0803,0.1178,0.0375,0.09,0.2852,0.1952,0.1066
s004,5,11,0.0781,0.1546,0.0765,0.1048,0.1162,0.0114,0.1006,0.1086,0.008,0.0647,0.2307,0.166,0.0829,0.3603,0.2774,0.1695,0.2389,0.0694,0.1014,0.0911,-0.0103,0.1107,0.1038,-0.0069,0.083,0.1506,0.0676,0.0726,0.2021,0.1295,0.0818
s004,5,12,0.099,0.1398,0.0408,0.1278,0.0927,-0.0351,0.0998,0.0705,-0.0293,0.0729,0.4558,0.3829,0.0792,0.3194,0.2402,0.1341,0.1866,0.0525,0.0845,0.0558,-0.0287,0.1249,0.1305,0.0056,0.0702,0.1312,0.061,0.0731,0.1859,0.1128,0.0676
s004,5,13,0.1196,0.1628,0.0432,0.1169,0.1317,0.0148,0.1006,0.103,0.0024,0.0779,0.218,0.1401,0.1088,0.519,0.4102,0.0956,0.2996,0.204,0.1066,0.2239,0.1173,0.1357,0.1429,0.0072,0.0863,0.171,0.0847,0.0911,0.2,0.1089,0.0705
s004,5,14,0.0956,0.1243,0.0287,0.1233,0.1566,0.0333,0.0972,0.0465,-0.0507,0.0755,0.2077,0.1322,0.1256,0.6237,0.4981,0.1462,0.2159,0.0697,0.1246,0.2149,0.0903,0.1075,0.1035,-0.004,0.079,0.1547,0.0757,0.0837,0.1857,0.102,0.0747
s004,5,15,0.0808,0.147,0.0662,0.0998,0.1492,0.0494,0.0842,0.0528,-0.0314,0.0855,0.2531,0.1676,0.0686,0.5094,0.4408,0.1481,0.1964,0.0483,0.1117,0.1469,0.0352,0.1429,0.1009,-0.042,0.0914,0.1508,0.0594,0.0977,0.1976,0.0999,0.075
s004,5,16,0.1006,0.1019,0.0013,0.1359,0.146,0.0101,0.1106,0.0821,-0.0285,0.094,0.4207,0.3267,0.094,0.3557,0.2617,0.1597,0.2181,0.0584,0.1085,0.1035,-0.005,0.1262,0.1355,0.0093,0.0829,0.1322,0.0493,0.1051,0.1976,0.0925,0.0818
s004,5,17,0.0913,0.1627,0.0714,0.1396,0.1415,0.0019,0.1016,0.0454,-0.0562,0.0594,0.3051,0.2457,0.0884,0.5295,0.4411,0.1444,0.1582,0.0138,0.1016,0.1503,0.0487,0.1392,0.1178,-0.0214,0.0845,0.1449,0.0604,0.0948,0.1894,0.0946,0.0737
s004,5,18,0.0982,0.1815,0.0833,0.1275,0.1238,-0.0037,0.1051,0.0531,-0.052,0.0869,0.2439,0.157,0.104,0.4767,0.3727,0.1082,0.2705,0.1623,0.1143,0.1817,0.0674,0.1209,0.1497,0.0288,0.0824,0.1486,0.0662,0.0832,0.1794,0.0962,0.0861
s004,5,19,0.1148,0.1182,0.0034,0.1299,0.1687,0.0388,0.1075,0.0462,-0.0613,0.0893,0.2339,0.1446,0.1259,0.3656,0.2397,0.1513,0.1669,0.0156,0.104,0.0732,-0.0308,0.1581,0.1555,-0.0026,0.0766,0.1331,0.0565,0.0744,0.1838,0.1094,0.081
s004,5,20,0.0642,0.1291,0.0649,0.108,0.1764,0.0684,0.1112,0.0175,-0.0937,0.1043,0.2924,0.1881,0.1048,0.448,0.3432,0.18,0.2318,0.0518,0.0853,0.0779,-0.0074,0.1387,0.1107,-0.028,0.0764,0.1186,0.0422,0.0937,0.1802,0.0865,0.0826
s004,5,21,0.0861,0.1415,0.0554,0.1444,0.142,-0.0024,0.1051,0.0259,-0.0792,0.0964,0.1782,0.0818,0.1082,0.6063,0.4981,0.127,0.2099,0.0829,0.0863,0.0988,0.0125,0.1273,0.1009,-0.0264,0.0853,0.1531,0.0678,0.0842,0.1807,0.0965,0.0842
s004,5,22,0.0964,0.1364,0.04,0.1241,0.1489,0.0248,0.1046,0.0048,-0.0998,0.1067,0.2178,0.1111,0.1051,0.3604,0.2553,0.1679,0.2397,0.0718,0.075,0.0994,0.0244,0.1161,0.1106,-0.0055,0.1006,0.1568,0.0562,0.0924,0.2079,0.1155,0.0636
s004,5,23,0.1045,0.249,0.1445,0.1249,0.1453,0.0204,0.1167,0.0726,-0.0441,0.0608,0.1835,0.1227,0.1227,0.3745,0.2518,0.1713,0.2558,0.0845,0.1122,0.1469,0.0347,0.132,0.0948,-0.0372,0.0842,0.1412,0.057,0.0837,0.191,0.1073,0.0697
s004,5,24,0.1019,0.2029,0.101,0.1283,0.1029,-0.0254,0.1181,0.1006,-0.0175,0.0648,0.2118,0.147,0.1106,0.3756,0.265,0.1796,0.2176,0.038,0.0985,0.0806,-0.0179,0.1392,0.1107,-0.0285,0.1038,0.1444,0.0406,0.1022,0.2024,0.1002,0.08
s004,5,25,0.1066,0.1158,0.0092,0.1351,0.1394,0.0043,0.0985,0.0116,-0.0869,0.0597,0.2178,0.1581,0.1243,0.464,0.3397,0.1399,0.1911,0.0512,0.1095,0.1328,0.0233,0.1463,0.1278,-0.0185,0.0822,0.14,0.0578,0.0789,0.2055,0.1266,0.0731
s004,5,26,0.042,0.3507,0.3087,0.1199,0.1109,-0.009,0.128,0.1468,0.0188,0.0768,0.6175,0.5407,0.1452,0.448,0.3028,0.1611,0.1513,-0.0098,0.1017,0.1102,0.0085,0.1606,0.1149,-0.0457,0.0869,0.151,0.0641,0.0874,0.1884,0.101,0.0705
s004,5,27,0.0985,0.1433,0.0448,0.1429,0.1415,-0.0014,0.1163,0.0608,-0.0555,0.0933,0.2118,0.1185,0.1367,0.5745,0.4378,0.1743,0.1605,-0.0138,0.102,0.1127,0.0107,0.1328,0.0932,-0.0396,0.0885,0.1336,0.0451,0.0987,0.2203,0.1216,0.0919
s004,5,28,0.1409,0.5599,0.419,0.1417,0.1388,-0.0029,0.1249,0.0668,-0.0581,0.0761,0.2191,0.143,0.1185,0.5846,0.4661,0.1394,0.2044,0.065,0.0985,0.0753,-0.0232,0.1371,0.1207,-0.0164,0.0758,0.1251,0.0493,0.0871,0.1912,0.1041,0.0863
s004,5,29,0.0961,0.1422,0.0461,0.1425,0.1185,-0.024,0.1143,0.0401,-0.0742,0.0769,0.2178,0.1409,0.1206,0.6621,0.5415,0.1389,0.1875,0.0486,0.0995,0.1007,0.0012,0.1222,0.075,-0.0472,0.0874,0.1552,0.0678,0.0763,0.1778,0.1015,0.0818
s004,5,30,0.0853,0.1056,0.0203,0.137,0.128,-0.009,0.1154,0.0663,-0.0491,0.0842,0.2059,0.1217,0.1344,0.4945,0.3601,0.1562,0.1874,0.0312,0.0975,0.0962,-0.0013,0.1387,0.0846,-0.0541,0.0985,0.1283,0.0298,0.1032,0.1968,0.0936,0.0829
s004,5,31,0.1119,0.1166,0.0047,0.1528,0.1219,-0.0309,0.1301,0.1024,-0.0277,0.0766,0.1486,0.072,0.1212,0.4467,0.3255,0.1539,0.2576,0.1037,0.1086,0.0917,-0.0169,0.1398,0.111,-0.0288,0.0925,0.1289,0.0364,0.09,0.2997,0.2097,0.0792
s004,5,32,0.1146,0.171,0.0564,0.152,0.1697,0.0177,0.1173,0.0539,-0.0634,0.0874,0.2257,0.1383,0.1584,0.4337,0.2753,0.1755,0.1974,0.0219,0.1133,0.0888,-0.0245,0.1494,0.1579,0.0085,0.0921,0.1496,0.0575,0.0998,0.206,0.1062,0.076
s004,5,33,0.0803,0.1583,0.078,0.1587,0.1386,-0.0201,0.079,0.4266,0.3476,0.1238,0.3394,0.2156,0.1235,0.6205,0.497,0.1608,0.1888,0.028,0.0885,0.0706,-0.0179,0.1415,0.1461,0.0046,0.0824,0.1547,0.0723,0.0932,0.1952,0.102,0.0937
s004,5,34,0.1135,0.2897,0.1762,0.1494,0.0987,-0.0507,0.1222,0.293,0.1708,0.1093,0.2761,0.1668,0.1029,0.4273,0.3244,0.1576,0.2371,0.0795,0.0943,0.0661,-0.0282,0.1418,0.0932,-0.0486,0.089,0.1275,0.0385,0.1022,0.2063,0.1041,0.0697
s004,5,35,0.1016,0.2242,0.1226,0.1463,0.1154,-0.0309,0.1081,0.0542,-0.0539,0.1199,0.3397,0.2198,0.0921,0.6503,0.5582,0.1455,0.1619,0.0164,0.1051,0.0975,-0.0076,0.1526,0.1114,-0.0412,0.093,0.1344,0.0414,0.0945,0.2,0.1055,0.0855
s004,5,36,0.0763,0.3364,0.2601,0.1284,0.0869,-0.0415,0.1268,0.149,0.0222,0.0829,0.1834,0.1005,0.1164,0.5767,0.4603,0.1346,0.2019,0.0673,0.0787,0.0613,-0.0174,0.1418,0.112,-0.0298,0.0919,0.1629,0.071,0.0863,0.2047,0.1184,0.0755
s004,5,37,0.0668,0.181,0.1142,0.1597,0.1772,0.0175,0.1038,0.0816,-0.0222,0.1069,0.2729,0.166,0.1138,0.6535,0.5397,0.1415,0.1645,0.023,0.0966,0.0721,-0.0245,0.1484,0.0951,-0.0533,0.0866,0.1389,0.0523,0.095,0.1962,0.1012,0.07
s004,5,38,0.1043,0.2407,0.1364,0.1312,0.1119,-0.0193,0.1117,0.0689,-0.0428,0.0885,0.3015,0.213,0.0663,0.491,0.4247,0.1376,0.2081,0.0705,0.1077,0.0246,-0.0831,0.0927,0.363,0.2703,0.0961,0.1821,0.086,0.0948,0.2171,0.1223,0.0845
s004,5,39,0.0982,0.1145,0.0163,0.1325,0.1365,0.004,0.1086,0.0243,-0.0843,0.08,0.1619,0.0819,0.1053,0.4572,0.3519,0.1592,0.2154,0.0562,0.0996,0.0896,-0.01,0.0872,0.0632,-0.024,0.1119,0.1689,0.057,0.1022,0.1953,0.0931,0.0905
s004,5,40,0.0911,0.1512,0.0601,0.1196,0.1286,0.009,0.1154,0.1082,-0.0072,0.0708,0.1526,0.0818,0.1314,0.4614,0.33,0.1806,0.2176,0.037,0.1238,0.239,0.1152,0.1132,0.1228,0.0096,0.0929,0.156,0.0631,0.1217,0.2166,0.0949,0.0763
s004,5,41,0.1156,0.1752,0.0596,0.1664,0.1204,-0.046,0.1215,0.5398,0.4183,0.0663,0.2489,0.1826,0.0911,0.4417,0.3506,0.1439,0.1851,0.0412,0.0987,0.0969,-0.0018,0.141,0.0782,-0.0628,0.093,0.1268,0.0338,0.0945,0.1926,0.0981,0.0758
s004,5,42,0.0882,0.1984,0.1102,0.1386,0.0789,-0.0597,0.1093,0.1204,0.0111,0.065,0.2033,0.1383,0.1109,0.5712,0.4603,0.1502,0.1785,0.0283,0.0958,0.0874,-0.0084,0.1252,0.1104,-0.0148,0.0779,0.1262,0.0483,0.0982,0.192,0.0938,0.0779
s004,5,43,0.1016,0.1453,0.0437,0.133,0.1433,0.0103,0.1169,0.0636,-0.0533,0.0916,0.1829,0.0913,0.1037,0.4822,0.3785,0.1571,0.2479,0.0908,0.0766,0.0888,0.0122,0.1178,0.0832,-0.0346,0.089,0.1394,0.0504,0.0816,0.2124,0.1308,0.0979
s004,5,44,0.1132,0.3876,0.2744,0.0562,0.346,0.2898,0.0824,0.0576,-0.0248,0.0919,0.3714,0.2795,0.0826,0.3033,0.2207,0.1296,0.2093,0.0797,0.0993,0.1131,0.0138,0.1436,0.1423,-0.0013,0.0935,0.1827,0.0892,0.0934,0.1962,0.1028,0.0805
s004,5,45,0.0853,0.1731,0.0878,0.1494,0.156,0.0066,0.1083,0.0151,-0.0932,0.09,0.4265,0.3365,0.0971,0.3558,0.2587,0.1497,0.1756,0.0259,0.0937,0.0869,-0.0068,0.1225,0.1075,-0.015,0.0805,0.1504,0.0699,0.0792,0.2013,0.1221,0.0755
s004,5,46,0.1124,0.1664,0.054,0.1264,0.1483,0.0219,0.1115,0.0444,-0.0671,0.0859,0.231,0.1451,0.0998,0.4955,0.3957,0.151,0.1909,0.0399,0.1009,0.0943,-0.0066,0.1262,0.1833,0.0571,0.0903,0.1713,0.081,0.0948,0.1958,0.101,0.0684
s004,5,47,0.0813,0.2008,0.1195,0.1198,0.1961,0.0763,0.1104,0.0507,-0.0597,0.1041,0.2928,0.1887,0.104,0.4907,0.3867,0.151,0.213,0.062,0.1112,0.1099,-0.0013,0.1415,0.1212,-0.0203,0.0898,0.1676,0.0778,0.0742,0.2,0.1258,0.0634
s004,5,48,0.0969,0.1678,0.0709,0.1301,0.1668,0.0367,0.0813,0.062,-0.0193,0.0689,0.5861,0.5172,0.104,0.6081,0.5041,0.0557,0.5114,0.4557,0.1043,0.1092,0.0049,0.1275,0.1365,0.009,0.0874,0.1494,0.062,0.0858,0.1855,0.0997,0.0705
s004,5,49,0.0921,0.1261,0.034,0.138,0.1452,0.0072,0.1006,0.0222,-0.0784,0.0908,0.1621,0.0713,0.1006,0.6068,0.5062,0.1412,0.184,0.0428,0.1006,0.1091,0.0085,0.1642,0.1761,0.0119,0.1048,0.1726,0.0678,0.1024,0.2137,0.1113,0.0744
s004,5,50,0.1423,0.2726,0.1303,0.1027,0.5822,0.4795,0.118,0.2436,0.1256,0.0755,0.2315,0.156,0.1172,0.4134,0.2962,0.16,0.2975,0.1375,0.0971,0.0787,-0.0184,0.132,0.141,0.009,0.0755,0.1359,0.0604,0.0874,0.1892,0.1018,0.0689
s004,6,1,0.104,0.1425,0.0385,0.0781,0.1204,0.0423,0.0874,0.047,-0.0404,0.0922,0.4973,0.4051,0.0763,0.3393,0.263,0.1146,0.2015,0.0869,0.0877,0.0716,-0.0161,0.1133,0.1445,0.0312,0.0863,0.1393,0.053,0.0858,0.2068,0.121,0.0771
s004,6,2,0.094,0.1227,0.0287,0.0797,0.1816,0.1019,0.0998,0.0908,-0.009,0.0681,0.251,0.1829,0.09,0.3503,0.2603,0.1589,0.2112,0.0523,0.0903,0.0973,0.007,0.1325,0.1217,-0.0108,0.085,0.1317,0.0467,0.1285,0.258,0.1295,0.07
s004,6,3,0.1119,0.3192,0.2073,0.0953,0.1149,0.0196,0.0919,0.0908,-0.0011,0.0687,0.2125,0.1438,0.1032,0.5698,0.4666,0.1275,0.1893,0.0618,0.0772,0.0384,-0.0388,0.1191,0.1614,0.0423,0.0747,0.1254,0.0507,0.1103,0.2297,0.1194,0.0715
s004,6,4,0.1111,0.1416,0.0305,0.1048,0.1383,0.0335,0.1041,0.0024,-0.1017,0.0916,0.2906,0.199,0.1069,0.4469,0.34,0.1359,0.1977,0.0618,0.0985,0.0592,-0.0393,0.1093,0.2537,0.1444,0.0908,0.1737,0.0829,0.0821,0.2203,0.1382,0.0636
s004,6,5,0.0956,0.1385,0.0429,0.0937,0.1494,0.0557,0.0951,0.0328,-0.0623,0.0811,0.2917,0.2106,0.0301,0.4395,0.4094,0.1415,0.1972,0.0557,0.1022,0.1121,0.0099,0.152,0.1238,-0.0282,0.0816,0.1402,0.0586,0.0908,0.1915,0.1007,0.065
s004,6,6,0.1246,0.214,0.0894,0.113,0.1497,0.0367,0.1246,0.0829,-0.0417,0.0879,0.251,0.1631,0.118,0.4292,0.3112,0.1383,0.2215,0.0832,0.0985,0.0729,-0.0256,0.1349,0.1096,-0.0253,0.0805,0.119,0.0385,0.095,0.2221,0.1271,0.0763
s004,6,7,0.1233,0.2797,0.1564,0.0942,0.104,0.0098,0.1043,0.085,-0.0193,0.0763,0.5808,0.5045,0.0673,0.3007,0.2334,0.1262,0.2186,0.0924,0.1148,0.1482,0.0334,0.1198,0.104,-0.0158,0.0927,0.136,0.0433,0.1074,0.2495,0.1421,0.0726
s004,6,8,0.1109,0.1665,0.0556,0.114,0.1394,0.0254,0.103,0.0792,-0.0238,0.07,0.25,0.18,0.0995,0.3542,0.2547,0.1503,0.2028,0.0525,0.0956,0.0968,0.0012,0.1462,0.1222,-0.024,0.0729,0.1138,0.0409,0.0979,0.2113,0.1134,0.0729
s004,6,9,0.1246,0.2438,0.1192,0.0948,0.0847,-0.0101,0.1096,0.1168,0.0072,0.062,0.4839,0.4219,0.0742,0.315,0.2408,0.1175,0.1642,0.0467,0.0927,0.069,-0.0237,0.1265,0.1466,0.0201,0.0752,0.119,0.0438,0.1074,0.2131,0.1057,0.0671
s004,6,10,0.1014,0.1536,0.0522,0.0995,0.1045,0.005,0.0992,0.081,-0.0182,0.0747,0.2262,0.1515,0.0803,0.3374,0.2571,0.1336,0.174,0.0404,0.093,0.0661,-0.0269,0.1463,0.1199,-0.0264,0.0869,0.1077,0.0208,0.1008,0.2034,0.1026,0.0958
s004,6,11,0.1124,0.2232,0.1108,0.1241,0.165,0.0409,0.0904,0.0584,-0.032,0.0721,0.1827,0.1106,0.0995,0.3683,0.2688,0.1402,0.1769,0.0367,0.104,0.094,-0.01,0.1304,0.0977,-0.0327,0.0979,0.1282,0.0303,0.1095,0.2667,0.1572,0.094
s004,6,12,0.1217,0.185,0.0633,0.1225,0.2025,0.08,0.1061,0.1478,0.0417,0.0832,0.2592,0.176,0.0679,0.3499,0.282,0.1328,0.1616,0.0288,0.1014,0.1134,0.012,0.1423,0.0953,-0.047,0.0993,0.1632,0.0639,0.0908,0.2068,0.116,0.0692
s004,6,13,0.1101,0.1288,0.0187,0.1283,0.1935,0.0652,0.0985,0.0496,-0.0489,0.0893,0.374,0.2847,0.1048,0.3438,0.239,0.1761,0.2616,0.0855,0.0927,0.1005,0.0078,0.1467,0.1003,-0.0464,0.0845,0.1222,0.0377,0.0964,0.2032,0.1068,0.0731
s004,6,14,0.071,0.1702,0.0992,0.0958,0.1629,0.0671,0.1043,0.136,0.0317,0.038,0.4243,0.3863,0.0924,0.354,0.2616,0.1283,0.1695,0.0412,0.1077,0.1112,0.0035,0.1381,0.0692,-0.0689,0.098,0.1423,0.0443,0.1146,0.2272,0.1126,0.0789
s004,6,15,0.1111,0.1369,0.0258,0.1117,0.2007,0.089,0.1151,0.1352,0.0201,0.0887,0.2444,0.1557,0.0795,0.3566,0.2771,0.1307,0.1571,0.0264,0.1014,0.0917,-0.0097,0.1555,0.1091,-0.0464,0.0916,0.1328,0.0412,0.1003,0.2047,0.1044,0.0792
s004,6,16,0.1016,0.1559,0.0543,0.1124,0.1594,0.047,0.1043,0.0744,-0.0299,0.078,0.1857,0.1077,0.0832,0.5443,0.4611,0.1362,0.1895,0.0533,0.1056,0.1105,0.0049,0.1434,0.089,-0.0544,0.0716,0.1186,0.047,0.1008,0.2263,0.1255,0.0808
s004,6,17,0.1161,0.1759,0.0598,0.1138,0.1431,0.0293,0.1132,0.0905,-0.0227,0.0702,0.1686,0.0984,0.081,0.3703,0.2893,0.1278,0.1753,0.0475,0.0924,0.1086,0.0162,0.1413,0.0795,-0.0618,0.0819,0.1363,0.0544,0.1074,0.2189,0.1115,0.0863
s004,6,18,0.1035,0.1786,0.0751,0.114,0.1375,0.0235,0.1019,0.1054,0.0035,0.0684,0.16,0.0916,0.0797,0.4661,0.3864,0.1861,0.3057,0.1196,0.0924,0.1062,0.0138,0.1391,0.0985,-0.0406,0.0808,0.1183,0.0375,0.0985,0.1955,0.097,0.0942
s004,6,19,0.1201,0.1876,0.0675,0.1198,0.1531,0.0333,0.1154,0.1489,0.0335,0.0697,0.1753,0.1056,0.0908,0.4442,0.3534,0.1557,0.3593,0.2036,0.1012,0.0975,-0.0037,0.1418,0.0872,-0.0546,0.0792,0.108,0.0288,0.1077,0.192,0.0843,0.0919
